HGNC ID	Status	Approved symbol	Approved name	NCBI gene ID	Ensembl gene ID
HGNC:3511	Approved	EXO1	exonuclease 1	9156	ENSG00000174371
HGNC:26115	Approved	EXO5	exonuclease 5	64789	ENSG00000164002
HGNC:30380	Approved	EXOC1	exocyst complex component 1	55763	ENSG00000090989
HGNC:53433	Approved	EXOC1L	exocyst complex component 1 like	644145	ENSG00000250821
HGNC:24968	Approved	EXOC2	exocyst complex component 2	55770	ENSG00000112685
HGNC:30378	Approved	EXOC3	exocyst complex component 3	11336	ENSG00000180104
HGNC:27540	Approved	EXOC3L1	exocyst complex component 3 like 1	283849	ENSG00000179044
HGNC:30162	Approved	EXOC3L2	exocyst complex component 3 like 2	90332	ENSG00000283632
HGNC:20120	Approved	EXOC3L4	exocyst complex component 3 like 4	91828	ENSG00000205436
HGNC:30389	Approved	EXOC4	exocyst complex component 4	60412	ENSG00000131558
HGNC:10696	Approved	EXOC5	exocyst complex component 5	10640	ENSG00000070367
HGNC:23196	Approved	EXOC6	exocyst complex component 6	54536	ENSG00000138190
HGNC:17085	Approved	EXOC6B	exocyst complex component 6B	23233	ENSG00000144036
HGNC:23214	Approved	EXOC7	exocyst complex component 7	23265	ENSG00000182473
HGNC:24659	Approved	EXOC8	exocyst complex component 8	149371	ENSG00000116903
HGNC:3347	Approved	EXOG	exo/endonuclease G	9941	ENSG00000157036
HGNC:17286	Approved	EXOSC1	exosome component 1	51013	ENSG00000171311
HGNC:17097	Approved	EXOSC2	exosome component 2	23404	ENSG00000130713
HGNC:17944	Approved	EXOSC3	exosome component 3	51010	ENSG00000107371
HGNC:18189	Approved	EXOSC4	exosome component 4	54512	ENSG00000178896
HGNC:24662	Approved	EXOSC5	exosome component 5	56915	ENSG00000077348
HGNC:19055	Approved	EXOSC6	exosome component 6	118460	ENSG00000223496
HGNC:28112	Approved	EXOSC7	exosome component 7	23016	ENSG00000075914
HGNC:17035	Approved	EXOSC8	exosome component 8	11340	ENSG00000120699
HGNC:9137	Approved	EXOSC9	exosome component 9	5393	ENSG00000123737
HGNC:9138	Approved	EXOSC10	exosome component 10	5394	ENSG00000171824
HGNC:30578	Approved	EXPH5	exophilin 5	23086	ENSG00000110723
HGNC:3512	Approved	EXT1	exostosin glycosyltransferase 1	2131	ENSG00000182197
HGNC:3513	Approved	EXT2	exostosin glycosyltransferase 2	2132	ENSG00000151348
HGNC:3515	Approved	EXTL1	exostosin like glycosyltransferase 1	2134	ENSG00000158008
HGNC:3516	Approved	EXTL2	exostosin like glycosyltransferase 2	2135	ENSG00000162694
HGNC:3518	Approved	EXTL3	exostosin like glycosyltransferase 3	2137	ENSG00000012232
HGNC:3519	Approved	EYA1	EYA transcriptional coactivator and phosphatase 1	2138	ENSG00000104313
HGNC:3520	Approved	EYA2	EYA transcriptional coactivator and phosphatase 2	2139	ENSG00000064655
HGNC:3521	Approved	EYA3	EYA transcriptional coactivator and phosphatase 3	2140	ENSG00000158161
HGNC:3522	Approved	EYA4	EYA transcriptional coactivator and phosphatase 4	2070	ENSG00000112319
HGNC:21555	Approved	EYS	eyes shut homolog	346007	ENSG00000188107
HGNC:3526	Approved	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	2145	ENSG00000108799
HGNC:3527	Approved	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	2146	ENSG00000106462
HGNC:12691	Approved	EZR	ezrin	7430	ENSG00000092820
HGNC:3535	Approved	F2	coagulation factor II, thrombin	2147	ENSG00000180210
HGNC:3537	Approved	F2R	coagulation factor II thrombin receptor	2149	ENSG00000181104
HGNC:3538	Approved	F2RL1	F2R like trypsin receptor 1	2150	ENSG00000164251
HGNC:3539	Approved	F2RL2	coagulation factor II thrombin receptor like 2	2151	ENSG00000164220
HGNC:3540	Approved	F2RL3	F2R like thrombin or trypsin receptor 3	9002	ENSG00000127533
HGNC:3541	Approved	F3	coagulation factor III, tissue factor	2152	ENSG00000117525
HGNC:3542	Approved	F5	coagulation factor V	2153	ENSG00000198734
HGNC:3544	Approved	F7	coagulation factor VII	2155	ENSG00000057593
HGNC:3528	Approved	F10	coagulation factor X	2159	ENSG00000126218
HGNC:3529	Approved	F11	coagulation factor XI	2160	ENSG00000088926
HGNC:14685	Approved	F11R	F11 receptor	50848	ENSG00000158769
HGNC:3530	Approved	F12	coagulation factor XII	2161	ENSG00000131187
HGNC:3531	Approved	F13A1	coagulation factor XIII A chain	2162	ENSG00000124491
HGNC:3534	Approved	F13B	coagulation factor XIII B chain	2165	ENSG00000143278
HGNC:21197	Approved	FA2H	fatty acid 2-hydroxylase	79152	ENSG00000103089
HGNC:3553	Approved	FAAH	fatty acid amide hydrolase	2166	ENSG00000117480
HGNC:26428	Approved	FAAP20	FA core complex associated protein 20	199990	ENSG00000162585
HGNC:28467	Approved	FAAP24	FA core complex associated protein 24	91442	ENSG00000131944
HGNC:26171	Approved	FAAP100	FA core complex associated protein 100	80233	ENSG00000185504
HGNC:3555	Approved	FABP1	fatty acid binding protein 1	2168	ENSG00000163586
HGNC:3556	Approved	FABP2	fatty acid binding protein 2	2169	ENSG00000145384
HGNC:3557	Approved	FABP3	fatty acid binding protein 3	2170	ENSG00000121769
HGNC:3559	Approved	FABP4	fatty acid binding protein 4	2167	ENSG00000170323
HGNC:3560	Approved	FABP5	fatty acid binding protein 5	2171	ENSG00000164687
HGNC:3561	Approved	FABP6	fatty acid binding protein 6	2172	ENSG00000170231
HGNC:3562	Approved	FABP7	fatty acid binding protein 7	2173	ENSG00000164434
HGNC:3563	Approved	FABP9	fatty acid binding protein 9	646480	ENSG00000205186
HGNC:34524	Approved	FABP12	fatty acid binding protein 12	646486	ENSG00000197416
HGNC:3573	Approved	FADD	Fas associated via death domain	8772	ENSG00000168040
HGNC:3574	Approved	FADS1	fatty acid desaturase 1	3992	ENSG00000149485
HGNC:3575	Approved	FADS2	fatty acid desaturase 2	9415	ENSG00000134824
HGNC:3576	Approved	FADS3	fatty acid desaturase 3	3995	ENSG00000221968
HGNC:30459	Approved	FADS6	fatty acid desaturase 6	283985	ENSG00000172782
HGNC:3578	Approved	FAF1	Fas associated factor 1	11124	ENSG00000185104
HGNC:24666	Approved	FAF2	Fas associated factor family member 2	23197	ENSG00000113194
HGNC:3579	Approved	FAH	fumarylacetoacetate hydrolase	2184	ENSG00000103876
HGNC:14169	Approved	FAHD1	fumarylacetoacetate hydrolase domain containing 1	81889	ENSG00000180185
HGNC:24252	Approved	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	51011	ENSG00000115042
HGNC:25318	Approved	FAHD2B	fumarylacetoacetate hydrolase domain containing 2B	151313	ENSG00000144199
HGNC:18703	Approved	FAIM	Fas apoptotic inhibitory molecule	55179	ENSG00000158234
HGNC:17067	Approved	FAIM2	Fas apoptotic inhibitory molecule 2	23017	ENSG00000135472
HGNC:1253	Approved	FAM3B	FAM3 metabolism regulating signaling molecule B	54097	ENSG00000183844
HGNC:18664	Approved	FAM3C	FAM3 metabolism regulating signaling molecule C	10447	ENSG00000196937
HGNC:18665	Approved	FAM3D	FAM3 metabolism regulating signaling molecule D	131177	ENSG00000198643
HGNC:16372	Approved	FAM8A1	family with sequence similarity 8 member A1	51439	ENSG00000137414
HGNC:19367	Approved	FAM13A	family with sequence similarity 13 member A	10144	ENSG00000138640
HGNC:1335	Approved	FAM13B	family with sequence similarity 13 member B	51306	ENSG00000031003
HGNC:19371	Approved	FAM13C	family with sequence similarity 13 member C	220965	ENSG00000148541
HGNC:23015	Approved	FAM20A	FAM20A golgi associated secretory pathway pseudokinase	54757	ENSG00000108950
HGNC:23017	Approved	FAM20B	FAM20B glycosaminoglycan xylosylkinase	9917	ENSG00000116199
HGNC:22140	Approved	FAM20C	FAM20C golgi associated secretory pathway kinase	56975	ENSG00000177706
HGNC:23470	Approved	FAM24A	family with sequence similarity 24 member A	118670	ENSG00000203795
HGNC:23475	Approved	FAM24B	family with sequence similarity 24 member B	196792	ENSG00000213185
HGNC:23436	Approved	FAM25A	family with sequence similarity 25 member A	643161	ENSG00000188100
HGNC:23586	Approved	FAM25C	family with sequence similarity 25 member C	644054	ENSG00000276430
HGNC:23590	Approved	FAM25G	family with sequence similarity 25 member G	100133093	ENSG00000189090
HGNC:24563	Approved	FAM32A	family with sequence similarity 32 member A	26017	ENSG00000105058
HGNC:26888	Approved	FAM43A	family with sequence similarity 43 member A	131583	ENSG00000185112
HGNC:31791	Approved	FAM43B	family with sequence similarity 43 member B	163933	ENSG00000183114
HGNC:34343	Approved	FAM47E	family with sequence similarity 47 member E	100129583	ENSG00000189157
HGNC:18789	Approved	FAM50B	family with sequence similarity 50 member B	26240	ENSG00000145945
HGNC:31860	Approved	FAM53A	family with sequence similarity 53 member A	152877	ENSG00000174137
HGNC:28968	Approved	FAM53B	family with sequence similarity 53 member B	9679	ENSG00000189319
HGNC:1336	Approved	FAM53C	family with sequence similarity 53 member C	51307	ENSG00000120709
HGNC:26541	Approved	FAM71A	family with sequence similarity 71 member A	149647	ENSG00000162771
HGNC:28397	Approved	FAM71B	family with sequence similarity 71 member B	153745	ENSG00000170613
HGNC:28594	Approved	FAM71C	family with sequence similarity 71 member C	196472	ENSG00000180219
HGNC:20101	Approved	FAM71D	family with sequence similarity 71 member D	161142	ENSG00000172717
HGNC:25107	Approved	FAM71E1	family with sequence similarity 71 member E1	112703	ENSG00000142530
HGNC:25278	Approved	FAM71E2	family with sequence similarity 71 member E2	284418	ENSG00000180043
HGNC:30704	Approved	FAM71F1	family with sequence similarity 71 member F1	84691	ENSG00000135248
HGNC:27998	Approved	FAM71F2	family with sequence similarity 71 member F2	346653	ENSG00000205085
HGNC:24044	Approved	FAM72A	family with sequence similarity 72 member A	729533	ENSG00000196550
HGNC:24805	Approved	FAM72B	family with sequence similarity 72 member B	653820	ENSG00000188610
HGNC:30602	Approved	FAM72C	family with sequence similarity 72 member C	554282	ENSG00000263513
HGNC:33593	Approved	FAM72D	family with sequence similarity 72 member D	728833	ENSG00000215784
HGNC:28530	Approved	FAM76A	family with sequence similarity 76 member A	199870	ENSG00000009780
HGNC:28492	Approved	FAM76B	family with sequence similarity 76 member B	143684	ENSG00000077458
HGNC:25465	Approved	FAM78A	family with sequence similarity 78 member A	286336	ENSG00000126882
HGNC:13495	Approved	FAM78B	family with sequence similarity 78 member B	149297	ENSG00000188859
HGNC:28379	Approved	FAM81A	family with sequence similarity 81 member A	145773	ENSG00000157470
HGNC:26335	Approved	FAM81B	family with sequence similarity 81 member B	153643	ENSG00000153347
HGNC:28210	Approved	FAM83A	family with sequence similarity 83 member A	84985	ENSG00000147689
HGNC:21357	Approved	FAM83B	family with sequence similarity 83 member B	222584	ENSG00000168143
HGNC:16121	Approved	FAM83C	family with sequence similarity 83 member C	128876	ENSG00000125998
HGNC:16122	Approved	FAM83D	family with sequence similarity 83 member D	81610	ENSG00000101447
HGNC:25972	Approved	FAM83E	family with sequence similarity 83 member E	54854	ENSG00000105523
HGNC:25148	Approved	FAM83F	family with sequence similarity 83 member F	113828	ENSG00000133477
HGNC:32554	Approved	FAM83G	family with sequence similarity 83 member G	644815	ENSG00000188522
HGNC:24797	Approved	FAM83H	family with sequence similarity 83 member H	286077	ENSG00000180921
HGNC:28268	Approved	FAM86B1	family with sequence similarity 86 member B1	85002	ENSG00000186523
HGNC:32222	Approved	FAM86B2	family with sequence similarity 86 member B2	653333	ENSG00000145002
HGNC:25057	Approved	FAM89A	family with sequence similarity 89 member A	375061	ENSG00000182118
HGNC:16708	Approved	FAM89B	family with sequence similarity 89 member B	23625	ENSG00000176973
HGNC:25526	Approved	FAM90A1	family with sequence similarity 90 member A1	55138	ENSG00000171847
HGNC:43746	Approved	FAM90A26	family with sequence similarity 90 member A26	100287045	ENSG00000229924
HGNC:26306	Approved	FAM91A1	family with sequence similarity 91 member A1	157769	ENSG00000176853
HGNC:24520	Approved	FAM98A	family with sequence similarity 98 member A	25940	ENSG00000119812
HGNC:26773	Approved	FAM98B	family with sequence similarity 98 member B	283742	ENSG00000171262
HGNC:27119	Approved	FAM98C	family with sequence similarity 98 member C	147965	ENSG00000130244
HGNC:31419	Approved	FAM102A	family with sequence similarity 102 member A	399665	ENSG00000167106
HGNC:27637	Approved	FAM102B	family with sequence similarity 102 member B	284611	ENSG00000162636
HGNC:25918	Approved	FAM104A	family with sequence similarity 104 member A	84923	ENSG00000133193
HGNC:30827	Approved	FAM107A	family with sequence similarity 107 member A	11170	ENSG00000168309
HGNC:23726	Approved	FAM107B	family with sequence similarity 107 member B	83641	ENSG00000065809
HGNC:16188	Approved	FAM110A	family with sequence similarity 110 member A	83541	ENSG00000125898
HGNC:28587	Approved	FAM110B	family with sequence similarity 110 member B	90362	ENSG00000169122
HGNC:33340	Approved	FAM110C	family with sequence similarity 110 member C	642273	ENSG00000184731
HGNC:25860	Approved	FAM110D	family with sequence similarity 110 member D	79927	ENSG00000197245
HGNC:24725	Approved	FAM111A	family with sequence similarity 111 member A	63901	ENSG00000166801
HGNC:24200	Approved	FAM111B	family with sequence similarity 111 member B	374393	ENSG00000189057
HGNC:25087	Approved	FAM114A1	family with sequence similarity 114 member A1	92689	ENSG00000197712
HGNC:1333	Approved	FAM114A2	family with sequence similarity 114 member A2	10827	ENSG00000055147
HGNC:24179	Approved	FAM117A	family with sequence similarity 117 member A	81558	ENSG00000121104
HGNC:14440	Approved	FAM117B	family with sequence similarity 117 member B	150864	ENSG00000138439
HGNC:1313	Approved	FAM118A	family with sequence similarity 118 member A	55007	ENSG00000100376
HGNC:26110	Approved	FAM118B	family with sequence similarity 118 member B	79607	ENSG00000197798
HGNC:13247	Approved	FAM120A	family with sequence similarity 120A	23196	ENSG00000048828
HGNC:23389	Approved	FAM120AOS	family with sequence similarity 120A opposite strand	158293	ENSG00000188938
HGNC:21109	Approved	FAM120B	family with sequence similarity 120B	84498	ENSG00000112584
HGNC:23490	Approved	FAM122A	family with sequence similarity 122A	116224	ENSG00000187866
HGNC:26413	Approved	FAM124A	family with sequence similarity 124 member A	220108	ENSG00000150510
HGNC:26224	Approved	FAM124B	family with sequence similarity 124 member B	79843	ENSG00000124019
HGNC:24587	Approved	FAM126A	family with sequence similarity 126 member A	84668	ENSG00000122591
HGNC:28593	Approved	FAM126B	family with sequence similarity 126 member B	285172	ENSG00000155744
HGNC:28308	Approved	FAM131A	family with sequence similarity 131 member A	131408	ENSG00000175182
HGNC:22202	Approved	FAM131B	family with sequence similarity 131 member B	9715	ENSG00000159784
HGNC:26717	Approved	FAM131C	family with sequence similarity 131 member C	348487	ENSG00000185519
HGNC:28629	Approved	FAM133B	family with sequence similarity 133 member B	257415	ENSG00000234545
HGNC:21084	Approved	FAM135A	family with sequence similarity 135 member A	57579	ENSG00000082269
HGNC:28029	Approved	FAM135B	family with sequence similarity 135 member B	51059	ENSG00000147724
HGNC:25911	Approved	FAM136A	family with sequence similarity 136 member A	84908	ENSG00000035141
HGNC:24527	Approved	FAM149A	family with sequence similarity 149 member A	25854	ENSG00000109794
HGNC:29162	Approved	FAM149B1	family with sequence similarity 149 member B1	317662	ENSG00000138286
HGNC:25032	Approved	FAM151A	family with sequence similarity 151 member A	338094	ENSG00000162391
HGNC:33716	Approved	FAM151B	family with sequence similarity 151 member B	167555	ENSG00000152380
HGNC:29940	Approved	FAM153A	family with sequence similarity 153 member A	285596	ENSG00000170074
HGNC:27323	Approved	FAM153B	family with sequence similarity 153 member B	202134	ENSG00000182230
HGNC:33877	Approved	FAM155A	family with sequence similarity 155 member A	728215	ENSG00000204442
HGNC:34237	Approved	FAM160A1	family with sequence similarity 160 member A1	729830	ENSG00000164142
HGNC:25378	Approved	FAM160A2	family with sequence similarity 160 member A2	84067	ENSG00000051009
HGNC:29320	Approved	FAM160B1	family with sequence similarity 160 member B1	57700	ENSG00000151553
HGNC:16492	Approved	FAM160B2	family with sequence similarity 160 member B2	64760	ENSG00000158863
HGNC:25808	Approved	FAM161A	FAM161 centrosomal protein A	84140	ENSG00000170264
HGNC:19854	Approved	FAM161B	FAM161 centrosomal protein B	145483	ENSG00000156050
HGNC:17865	Approved	FAM162A	family with sequence similarity 162 member A	26355	ENSG00000114023
HGNC:21549	Approved	FAM162B	family with sequence similarity 162 member B	221303	ENSG00000183807
HGNC:28274	Approved	FAM163A	family with sequence similarity 163 member A	148753	ENSG00000143340
HGNC:33277	Approved	FAM163B	family with sequence similarity 163 member B	642968	ENSG00000196990
HGNC:33818	Approved	FAM166A	family with sequence similarity 166 member A	401565	ENSG00000188163
HGNC:34242	Approved	FAM166B	family with sequence similarity 166 member B	730112	ENSG00000215187
HGNC:27938	Approved	FAM166C	family with sequence similarity 166 member C	339778	ENSG00000173557
HGNC:15549	Approved	FAM167A	family with sequence similarity 167 member A	83648	ENSG00000154319
HGNC:28133	Approved	FAM167B	family with sequence similarity 167 member B	84734	ENSG00000183615
HGNC:28999	Approved	FAM168A	family with sequence similarity 168 member A	23201	ENSG00000054965
HGNC:27016	Approved	FAM168B	family with sequence similarity 168 member B	130074	ENSG00000152102
HGNC:29138	Approved	FAM169A	family with sequence similarity 169 member A	26049	ENSG00000198780
HGNC:26835	Approved	FAM169B	family with sequence similarity 169 member B	283777	ENSG00000283597
HGNC:27963	Approved	FAM170A	family with sequence similarity 170 member A	340069	ENSG00000164334
HGNC:19736	Approved	FAM170B	family with sequence similarity 170 member B	170370	ENSG00000172538
HGNC:23522	Approved	FAM171A1	family with sequence similarity 171 member A1	221061	ENSG00000148468
HGNC:30480	Approved	FAM171A2	family with sequence similarity 171 member A2	284069	ENSG00000161682
HGNC:29412	Approved	FAM171B	family with sequence similarity 171 member B	165215	ENSG00000144369
HGNC:25365	Approved	FAM172A	family with sequence similarity 172 member A	83989	ENSG00000113391
HGNC:24943	Approved	FAM174A	family with sequence similarity 174 member A	345757	ENSG00000174132
HGNC:34339	Approved	FAM174B	family with sequence similarity 174 member B	400451	ENSG00000185442
HGNC:26073	Approved	FAM174C	family with sequence similarity 174 member C	55009	ENSG00000228300
HGNC:19829	Approved	FAM177A1	family with sequence similarity 177 member A1	283635	ENSG00000151327
HGNC:34395	Approved	FAM177B	family with sequence similarity 177 member B	400823	ENSG00000197520
HGNC:28036	Approved	FAM178B	family with sequence similarity 178 member B	51252	ENSG00000168754
HGNC:33773	Approved	FAM180A	family with sequence similarity 180 member A	389558	ENSG00000189320
HGNC:34451	Approved	FAM180B	family with sequence similarity 180 member B	399888	ENSG00000196666
HGNC:20491	Approved	FAM181A	family with sequence similarity 181 member A	90050	ENSG00000140067
HGNC:28512	Approved	FAM181B	family with sequence similarity 181 member B	220382	ENSG00000182103
HGNC:34347	Approved	FAM183A	family with sequence similarity 183 member A	440585	ENSG00000186973
HGNC:20991	Approved	FAM184A	family with sequence similarity 184 member A	79632	ENSG00000111879
HGNC:29235	Approved	FAM184B	family with sequence similarity 184 member B	27146	ENSG00000047662
HGNC:22412	Approved	FAM185A	family with sequence similarity 185 member A	222234	ENSG00000222011
HGNC:26980	Approved	FAM186A	family with sequence similarity 186 member A	121006	ENSG00000185958
HGNC:25296	Approved	FAM186B	family with sequence similarity 186 member B	84070	ENSG00000135436
HGNC:35153	Approved	FAM187A	family with sequence similarity 187 member A	100528020	ENSG00000214447
HGNC:26366	Approved	FAM187B	family with sequence similarity 187 member B	148109	ENSG00000177558
HGNC:29075	Approved	FAM189A1	family with sequence similarity 189 member A1	23359	ENSG00000104059
HGNC:24820	Approved	FAM189A2	family with sequence similarity 189 member A2	9413	ENSG00000135063
HGNC:1233	Approved	FAM189B	family with sequence similarity 189 member B	10712	ENSG00000160767
HGNC:16822	Approved	FAM193A	family with sequence similarity 193 member A	8603	ENSG00000125386
HGNC:25524	Approved	FAM193B	family with sequence similarity 193 member B	54540	ENSG00000146067
HGNC:25401	Approved	FAM200A	family with sequence similarity 200 member A	221786	ENSG00000221909
HGNC:27740	Approved	FAM200B	family with sequence similarity 200 member B	285550	ENSG00000237765
HGNC:25794	Approved	FAM204A	family with sequence similarity 204 member A	63877	ENSG00000165669
HGNC:41911	Approved	FAM205A	family with sequence similarity 205 member A	259308	ENSG00000205108
HGNC:42673	Approved	FAM205C	family with sequence similarity 205 member C	100129969	ENSG00000187791
HGNC:15811	Approved	FAM207A	family with sequence similarity 207 member A	85395	ENSG00000160256
HGNC:16100	Approved	FAM209A	family with sequence similarity 209 member A	200232	ENSG00000124103
HGNC:16101	Approved	FAM209B	family with sequence similarity 209 member B	388799	ENSG00000213714
HGNC:28346	Approved	FAM210A	family with sequence similarity 210 member A	125228	ENSG00000177150
HGNC:16102	Approved	FAM210B	family with sequence similarity 210 member B	116151	ENSG00000124098
HGNC:25609	Approved	FAM214A	family with sequence similarity 214 member A	56204	ENSG00000047346
HGNC:25666	Approved	FAM214B	family with sequence similarity 214 member B	80256	ENSG00000005238
HGNC:30180	Approved	FAM216A	family with sequence similarity 216 member A	29902	ENSG00000204856
HGNC:26883	Approved	FAM216B	family with sequence similarity 216 member B	144809	ENSG00000179813
HGNC:21362	Approved	FAM217A	family with sequence similarity 217 member A	222826	ENSG00000145975
HGNC:16170	Approved	FAM217B	family with sequence similarity 217 member B	63939	ENSG00000196227
HGNC:19920	Approved	FAM219A	family with sequence similarity 219 member A	203259	ENSG00000164970
HGNC:24695	Approved	FAM219B	family with sequence similarity 219 member B	57184	ENSG00000178761
HGNC:22422	Approved	FAM220A	family with sequence similarity 220 member A	84792	ENSG00000178397
HGNC:27977	Approved	FAM221A	family with sequence similarity 221 member A	340277	ENSG00000188732
HGNC:30762	Approved	FAM221B	family with sequence similarity 221 member B	392307	ENSG00000204930
HGNC:25915	Approved	FAM222A	family with sequence similarity 222 member A	84915	ENSG00000139438
HGNC:25563	Approved	FAM222B	family with sequence similarity 222 member B	55731	ENSG00000173065
HGNC:44197	Approved	FAM227A	family with sequence similarity 227 member A	646851	ENSG00000184949
HGNC:26543	Approved	FAM227B	family with sequence similarity 227 member B	196951	ENSG00000166262
HGNC:34418	Approved	FAM228A	family with sequence similarity 228 member A	653140	ENSG00000186453
HGNC:24736	Approved	FAM228B	family with sequence similarity 228 member B	375190	ENSG00000219626
HGNC:44652	Approved	FAM229A	family with sequence similarity 229 member A	100128071	ENSG00000225828
HGNC:33858	Approved	FAM229B	family with sequence similarity 229 member B	619208	ENSG00000203778
HGNC:14163	Approved	FAM234A	family with sequence similarity 234 member A	83986	ENSG00000167930
HGNC:29288	Approved	FAM234B	family with sequence similarity 234 member B	57613	ENSG00000084444
HGNC:52388	Approved	FAM237A	family with sequence similarity 237 member A	200726	ENSG00000235118
HGNC:53217	Approved	FAM237B	family with sequence similarity 237 member B	107986818	ENSG00000283267
HGNC:52390	Approved	FAM240A	family with sequence similarity 240 member A	100132146	ENSG00000283473
HGNC:53430	Approved	FAM240B	family with sequence similarity 240 member B	110806297	ENSG00000283329
HGNC:54200	Approved	FAM240C	family with sequence similarity 240 member C	285095	ENSG00000216921
HGNC:26813	Approved	FAM241A	family with sequence similarity 241 member A	132720	ENSG00000174749
HGNC:23519	Approved	FAM241B	family with sequence similarity 241 member B	219738	ENSG00000171224
HGNC:39602	Approved	FAM243A	family with sequence similarity 243 member A	101928147	ENSG00000222018
HGNC:53888	Approved	FAM243B	family with sequence similarity 243 member B	102723451	ENSG00000277277
HGNC:54844	Approved	FAM246A	family with sequence similarity 246 member A	117134598	ENSG00000286102
HGNC:54843	Approved	FAM246B	family with sequence similarity 246 member B	117134597	ENSG00000286175
HGNC:54842	Approved	FAM246C	family with sequence similarity 246 member C (gene/pseudogene)	117134596	ENSG00000286025
HGNC:29170	Approved	FAN1	FANCD2 and FANCI associated nuclease 1	22909	ENSG00000198690
HGNC:3582	Approved	FANCA	FA complementation group A	2175	ENSG00000187741
HGNC:3584	Approved	FANCC	FA complementation group C	2176	ENSG00000158169
HGNC:3585	Approved	FANCD2	FA complementation group D2	2177	ENSG00000144554
HGNC:28623	Approved	FANCD2OS	FANCD2 opposite strand	115795	ENSG00000163705
HGNC:3586	Approved	FANCE	FA complementation group E	2178	ENSG00000112039
HGNC:3587	Approved	FANCF	FA complementation group F	2188	ENSG00000183161
HGNC:3588	Approved	FANCG	FA complementation group G	2189	ENSG00000221829
HGNC:25568	Approved	FANCI	FA complementation group I	55215	ENSG00000140525
HGNC:20748	Approved	FANCL	FA complementation group L	55120	ENSG00000115392
HGNC:23168	Approved	FANCM	FA complementation group M	57697	ENSG00000187790
HGNC:23527	Approved	FANK1	fibronectin type III and ankyrin repeat domains 1	92565	ENSG00000203780
HGNC:3590	Approved	FAP	fibroblast activation protein alpha	2191	ENSG00000078098
HGNC:26222	Approved	FAR1	fatty acyl-CoA reductase 1	84188	ENSG00000197601
HGNC:25531	Approved	FAR2	fatty acyl-CoA reductase 2	55711	ENSG00000064763
HGNC:3591	Approved	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	10160	ENSG00000152767
HGNC:16460	Approved	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2	9855	ENSG00000006607
HGNC:21062	Approved	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	10667	ENSG00000145982
HGNC:3592	Approved	FARSA	phenylalanyl-tRNA synthetase subunit alpha	2193	ENSG00000179115
HGNC:17800	Approved	FARSB	phenylalanyl-tRNA synthetase subunit beta	10056	ENSG00000116120
HGNC:11920	Approved	FAS	Fas cell surface death receptor	355	ENSG00000026103
HGNC:11936	Approved	FASLG	Fas ligand	356	ENSG00000117560
HGNC:3594	Approved	FASN	fatty acid synthase	2194	ENSG00000169710
HGNC:24676	Approved	FASTK	Fas activated serine/threonine kinase	10922	ENSG00000164896
HGNC:26150	Approved	FASTKD1	FAST kinase domains 1	79675	ENSG00000138399
HGNC:29160	Approved	FASTKD2	FAST kinase domains 2	22868	ENSG00000118246
HGNC:28758	Approved	FASTKD3	FAST kinase domains 3	79072	ENSG00000124279
HGNC:25790	Approved	FASTKD5	FAST kinase domains 5	60493	ENSG00000215251
HGNC:3595	Approved	FAT1	FAT atypical cadherin 1	2195	ENSG00000083857
HGNC:3596	Approved	FAT2	FAT atypical cadherin 2	2196	ENSG00000086570
HGNC:23112	Approved	FAT3	FAT atypical cadherin 3	120114	ENSG00000165323
HGNC:23109	Approved	FAT4	FAT atypical cadherin 4	79633	ENSG00000196159
HGNC:3597	Approved	FAU	FAU ubiquitin like and ribosomal protein S30 fusion	2197	ENSG00000149806
HGNC:20742	Approved	FAXC	failed axon connections homolog, metaxin like GST domain containing	84553	ENSG00000146267
HGNC:1334	Approved	FAXDC2	fatty acid hydroxylase domain containing 2	10826	ENSG00000170271
HGNC:24674	Approved	FBF1	Fas binding factor 1	85302	ENSG00000188878
HGNC:13620	Approved	FBH1	F-box DNA helicase 1	84893	ENSG00000134452
HGNC:3599	Approved	FBL	fibrillarin	2091	ENSG00000105202
HGNC:24686	Approved	FBLIM1	filamin binding LIM protein 1	54751	ENSG00000162458
HGNC:35458	Approved	FBLL1	fibrillarin like 1	345630	ENSG00000188573
HGNC:3600	Approved	FBLN1	fibulin 1	2192	ENSG00000077942
HGNC:3601	Approved	FBLN2	fibulin 2	2199	ENSG00000163520
HGNC:3602	Approved	FBLN5	fibulin 5	10516	ENSG00000140092
HGNC:26740	Approved	FBLN7	fibulin 7	129804	ENSG00000144152
HGNC:3603	Approved	FBN1	fibrillin 1	2200	ENSG00000166147
HGNC:3604	Approved	FBN2	fibrillin 2	2201	ENSG00000138829
HGNC:18794	Approved	FBN3	fibrillin 3	84467	ENSG00000142449
HGNC:3606	Approved	FBP1	fructose-bisphosphatase 1	2203	ENSG00000165140
HGNC:3607	Approved	FBP2	fructose-bisphosphatase 2	8789	ENSG00000130957
HGNC:20442	Approved	FBRS	fibrosin	64319	ENSG00000156860
